Id,country,total_cases,total_death,new_deaths,total_recovered,active_cases,serious_critical,total_cases_per_million,deaths_per_million,total_tests,tests_per_million,population,continent,year
119,Maldives,185042,308,0,163687,21047,25,342046,569,2213831,4092223,540985,Asia,2019
120,Trinidad and Tobago,182597,4195,0,174214,4188,18,129816,2982,834508,593287,1406585,North America,2019
121,Uganda,169396,3628,0,100431,65337,3,3498,75,3012408,62198,48432863,Africa,2019
122,Namibia,169253,4065,0,164813,375,0,64260,1543,1062663,403460,2633874,Africa,2019
123,Ghana,169100,1459,0,167307,334,2,5220,45,2504017,77295,32395450,Africa,2019
124,Jamaica,151829,3317,0,99239,49273,0,50862,1111,1183986,396633,2985094,North America,2019
125,Cambodia,137870,3056,0,134745,69,0,8030,178,3069567,178789,17168639,Asia,2019
126,Rwanda,132498,1466,0,130955,77,0,9742,108,5816624,427678,13600464,Africa,2019
127,Cameroon,121652,1935,0,118616,1101,13,4358,69,1751774,62762,27911548,Africa,2019
128,Malta,114652,806,0,113195,651,4,258206,1815,2060900,4641322,444033,Europe,2019
129,Angola,103131,1917,0,101155,59,0,2944,55,1499795,42818,35027343,Africa,2019
130,Barbados,102546,559,0,101760,227,0,356034,1941,765378,2657350,288023,North America,2019
131,French Guiana,93974,410,0,11254,82310,3,299119,1305,651257,2072951,314169,South America,2019
132,DRC,92852,1442,0,83504,7906,0,975,15,846704,8890,95240792,Africa,2019
133,Channel Islands,91561,202,0,90639,720,0,518868,1145,1252808,7099551,176463,Europe,2019
134,Senegal,88373,1968,0,86297,108,0,5006,111,1146543,64946,17653671,Africa,2019
135,Malawi,88024,2682,0,84872,470,67,4362,133,616772,30562,20180839,Africa,2019
136,Ivory Coast,87208,826,0,86338,44,0,3144,30,1628106,58687,27742298,Africa,2019
137,Suriname,81106,1385,0,0,0,0,135894,2321,239178,400747,596831,South America,2019
138,French Polynesia,76599,649,0,0,0,7,269559,2284,0,0,284164,Australia/Oceania,2019
139,New Caledonia,74152,314,0,73823,15,9,254892,1079,98964,340182,290915,Australia/Oceania,2019
140,Eswatini,73390,1422,0,71955,13,11,61942,1200,1045903,882755,1184817,Africa,2019
141,Guyana,71336,1281,0,69977,78,0,89839,1613,695695,876141,794045,South America,2019
142,Belize,68826,683,0,68079,64,6,166976,1657,576016,1397453,412190,North America,2019
143,Fiji,68242,878,0,66302,1062,0,75035,965,662620,728581,909466,Australia/Oceania,2019
144,Madagascar,66676,1410,0,65242,24,0,2285,48,512993,17581,29178077,Africa,2019
145,Sudan,63285,4961,0,57290,1034,0,1376,108,562941,12240,45992020,Africa,2019
146,Mauritania,62812,995,0,61789,28,0,12814,203,970892,198061,4901981,Africa,2019
147,Cabo Verde,62371,410,0,61890,71,23,109870,722,401622,707482,567678,Africa,2019
148,Bhutan,61730,21,0,61564,145,0,78343,27,2303734,2923739,787941,Asia,2019
149,Syria,57299,3163,0,54078,58,0,2959,163,146269,7553,19364809,Asia,2019
150,Burundi,50129,38,0,49559,532,0,3971,3,345742,27386,12624840,Africa,2019
151,Gabon,48691,306,0,48292,93,0,20884,131,1616256,693216,2331533,Africa,2019
152,Seychelles,47141,169,0,46446,526,0,474132,1700,0,0,99426,Africa,2019
